#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  30600      1.03e+00      4.11e-03      4.75e-02    4.6e-04
  30700      9.76e-01      7.03e-03      4.47e-02    4.6e-04
  30800      1.11e+00      7.29e-03      5.09e-02    4.6e-04
  30900      1.07e+00      1.34e-02      4.65e-02    4.6e-04
  31000      1.54e+00      1.32e-03      7.17e-02    4.6e-04
  31100      1.13e+00      3.08e-03      5.23e-02    4.6e-04
  31200      9.80e-01      1.57e-03      4.55e-02    4.6e-04
  31300      9.90e-01      1.13e-02      4.35e-02    4.6e-04
  31400      1.17e+00      1.97e-03      5.43e-02    4.6e-04
  31500      1.18e+00      1.71e-03      5.47e-02    4.6e-04
  31600      1.07e+00      1.59e-03      4.95e-02    4.6e-04
  31700      1.15e+00      2.69e-03      5.31e-02    4.6e-04
  31800      1.26e+00      7.05e-04      5.85e-02    4.6e-04
  31900      1.26e+00      2.60e-03      5.84e-02    4.6e-04
  32000      1.12e+00      1.49e-02      4.91e-02    4.4e-04
  32100      1.30e+00      3.94e-03      6.15e-02    4.4e-04
  32200      2.05e+00      6.57e-02      9.64e-02    4.4e-04
  32300      1.21e+00      1.70e-03      5.76e-02    4.4e-04
  32400      1.08e+00      1.70e-02      4.75e-02    4.4e-04
  32500      1.08e+00      8.46e-04      5.14e-02    4.4e-04
  32600      1.21e+00      4.71e-04      5.74e-02    4.4e-04
  32700      2.06e+00      1.17e-02      9.66e-02    4.4e-04
  32800      1.07e+00      1.00e-03      5.08e-02    4.4e-04
  32900      2.59e+00      2.29e-02      1.23e-01    4.4e-04
  33000      1.27e+00      1.08e-03      6.06e-02    4.4e-04
  33100      9.32e-01      6.78e-04      4.44e-02    4.4e-04
  33200      1.20e+00      3.65e-03      5.68e-02    4.4e-04
  33300      9.70e-01      2.47e-03      4.61e-02    4.4e-04
  33400      1.30e+00      6.71e-03      6.11e-02    4.4e-04
  33500      1.11e+00      1.26e-03      5.26e-02    4.4e-04
  33600      1.25e+00      2.42e-03      5.95e-02    4.4e-04
  33700      1.08e+00      4.31e-04      5.12e-02    4.4e-04
  33800      1.07e+00      1.83e-04      5.08e-02    4.4e-04
  33900      1.38e+00      9.70e-04      6.55e-02    4.4e-04
  34000      1.11e+00      1.28e-02      5.09e-02    4.2e-04
  34100      9.14e-01      1.04e-02      4.29e-02    4.2e-04
  34200      9.70e-01      9.30e-03      4.55e-02    4.2e-04
